strain	gisaid_epi_isl	genbank_accession	originating_lab	submitting_lab	author
hCoV-19/Liechtenstein/FL-Risch-2172603123/2021	EPI_ISL_3570055	OU579088.1	Dr. Risch Ostschweiz AG	Microbiology, Dr. Risch	Nadia Wohlwend et al
hCoV-19/Colombia/CUN-GO27101/2021	EPI_ISL_3673676		Gencore - Universidad de los Andes	Gencore - Universidad de los Andes	Luisa Sacristan et al
hCoV-19/Mexico/GRO-LANGEBIO_IMSS_1870/2021	EPI_ISL_2942931		Laboratorio Central de Epidemiologia (LCE)	Unidad de Genomica Avanzada	Consorcio Mexicano de Vigilancia Genomica (CoViGen-Mex). Authors (in alphabetical order): Julio Elias Alvarado-Yaah et al
hCoV-19/Mexico/GRO-InDRE_FB25894_S5682/2021	EPI_ISL_3768980		LESP Guerrero	Instituto de Diagnostico y Referencia Epidemiologicos (INDRE)	Claudia Wong-Arambula et al
hCoV-19/Mexico/MOR-InDRE_FB26826_S5775/2021	EPI_ISL_3769171		LESP Morelos	Instituto de Diagnostico y Referencia Epidemiologicos (INDRE)	Claudia Wong-Arambula et al
hCoV-19/Mexico/PUE-INMEGEN-24-212/2021	EPI_ISL_3943482		Instituto Nacional de Medicina Genomica	Instituto Nacional de Medicina Genomica	Cedro-Tanda A et al
hCoV-19/Mexico/GRO-INMEGEN-21-53/2021	EPI_ISL_3548071		Instituto Nacional de Medicina Genomica	Instituto Nacional de Medicina Genomica	Cedro-Tanda A et al
hCoV-19/Mexico/GUA_LANGEBIO_IMSS_2229/2021	EPI_ISL_3805329		Centro de Investigacion Biomedica de Occidente (CIBO)	Unidad de Genomica Avanzada	Consorcio Mexicano de Vigilancia Genomica (CoViGen-Mex). Authors (in alphabetical order): Julio Elias Alvarado-Yaah et al
hCoV-19/Mexico/COL_LANGEBIO_IMSS_2307/2021	EPI_ISL_3805325		Centro de Investigacion Biomedica de Occidente (CIBO)	Unidad de Genomica Avanzada	Consorcio Mexicano de Vigilancia Genomica (CoViGen-Mex). Authors (in alphabetical order): Julio Elias Alvarado-Yaah et al
hCoV-19/Mexico/CMX-INMEGEN-06-03-277/2021	EPI_ISL_2810239		Salud Digna	Instituto Nacional de Medicina Genomica	Cedro-Tanda A et al
hCoV-19/USA/DC-CDC-LC0146275/2021	EPI_ISL_3515739	MZ863075.1	Laboratory Corporation of America	Centers for Disease Control and Prevention Division of Viral Diseases, Pathogen Discovery	Dakota Howard et al
hCoV-19/Mexico/CMX-INMEGEN-17-278/2021	EPI_ISL_3067963		Instituto Nacional de Medicina Genomica	Instituto Nacional de Medicina Genomica	Cedro-Tanda A et al
hCoV-19/Mexico/TLA-InDRE_FB18148_S4379/2021	EPI_ISL_2937845		LESP Tlaxcala	Instituto de Diagnostico y Referencia Epidemiologicos (INDRE)	Claudia Wong-Arambula et al
hCoV-19/Mexico/OAX-InDRE_FB21365_S5255/2021	EPI_ISL_3460068		LESP Oaxaca	Instituto de Diagnostico y Referencia Epidemiologicos (INDRE)	Claudia Wong-Arambula et al
hCoV-19/Mexico/TLA_IBT_IMSS_2393/2021	EPI_ISL_3347698		Laboratorio Central de Epidemiología (LCE)	Instituto de Biotecnología de la UNAM	Consorcio Mexicano de Vigilancia Genómica (CoViGen-Mex). Authors (in alphabetical order): Julio Elias Alvarado-Yaah et al
hCoV-19/Mexico/MOR_InDRE_FB28754_S6038/2021	EPI_ISL_3923898		LESP Morelos	Instituto de Diagnostico y Referencia Epidemiologicos (INDRE)	Claudia Wong-Arambula et al
hCoV-19/Mexico/MEX-INMEGEN-20-130/2021	EPI_ISL_3503497		Salud Digna	Instituto Nacional de Medicina Genomica	Cedro-Tanda A et al
hCoV-19/Mexico/TLA_LANGEBIO_IMSS_2156/2021	EPI_ISL_3805485		Laboratorio Central de Epidemiologi­a (LCE)	Unidad de Genomica Avanzada	Consorcio Mexicano de Vigilancia Genomica (CoViGen-Mex). Authors (in alphabetical order): Julio Elias Alvarado-Yaah et al
hCoV-19/Mexico/SLP-InDRE_FB25325_S5657/2021	EPI_ISL_3768962		LESP San Luis Potosi	Instituto de Diagnostico y Referencia Epidemiologicos (INDRE)	Claudia Wong-Arambula et al
hCoV-19/Mexico/TAM_LANGEBIO_IMSS_1919/2021	EPI_ISL_3805468		Centro de Investigacion Biomedica del Noreste (CIBIN)	Unidad de Genomica Avanzada	Consorcio Mexicano de Vigilancia Genomica (CoViGen-Mex). Authors (in alphabetical order): Julio Elias Alvarado-Yaah et al
hCoV-19/Mexico/COA-InDRE_FB24182_S5573/2021	EPI_ISL_3768930		LESP Coahuila	Instituto de Diagnostico y Referencia Epidemiologicos (INDRE)	Claudia Wong-Arambula et al
hCoV-19/Mexico/TAB-INMEGEN-21-214/2021	EPI_ISL_3548218		Salud Digna	Instituto Nacional de Medicina Genomica	Cedro-Tanda A et al
hCoV-19/Mexico/HID_IBT_IMSS_2438/2021	EPI_ISL_3347734		Laboratorio Central de Epidemiología (LCE)	Instituto de Biotecnología de la UNAM	Consorcio Mexicano de Vigilancia Genómica (CoViGen-Mex). Authors (in alphabetical order): Julio Elias Alvarado-Yaah et al
hCoV-19/Mexico/HID_LANGEBIO_IMSS_2139/2021	EPI_ISL_3805554		Laboratorio Central de Epidemiologi­a (LCE)	Unidad de Genomica Avanzada	Consorcio Mexicano de Vigilancia Genomica (CoViGen-Mex). Authors (in alphabetical order): Julio Elias Alvarado-Yaah et al
hCoV-19/Mexico/VER-INMEGEN-23-147/2021	EPI_ISL_3905907		Salud Digna	Instituto Nacional de Medicina Genomica	Cedro-Tanda A et al
hCoV-19/Uzbekistan/Tashkent-CGB-41/2021	EPI_ISL_3673668		Private clinic of Biogen Med, Tashkent, Uzbekistan	Center of Genomics and bioinformatics, Bioinformatics laboratory	Mirzakamol S Ayubov et al
hCoV-19/Uzbekistan/Tashkent-CGB-44/2021	EPI_ISL_3673673		Private clinic of Biogen Med, Tashkent, Uzbekistan	Center of Genomics and bioinformatics, Bioinformatics laboratory	Mirzakamol S Ayubov et al
hCoV-19/Kuwait/Jaber2120359776/2021	EPI_ISL_3866899		Jarallah German Specialized Clinic	Virology Lab, Jaber Al Ahmad Hospital	Dr. Zahrah Buhamad et al
hCoV-19/Germany/BY-RKI-I-202959/2021	EPI_ISL_3712775		SYNLAB MVZ Weiden	Robert Koch Institute	?
hCoV-19/Jordan/PHBC10/2021	EPI_ISL_2932618		Jordan University of Science Technology/ Irbid filed Hospital/ MOH	Princess Haya Biotechnology Center/ Jordan University of Science Technology	Saied Jaradat et al
hCoV-19/Jordan/PHBC9/2021	EPI_ISL_2932615		Jordan University of Science Technology/ Irbid filed Hospital/ MOH	Princess Haya Biotechnology Center/ Jordan University of Science Technology	Saied Jaradat et al
hCoV-19/Jordan/PHBC8/2021	EPI_ISL_2932611		Jordan University of Science Technology/ Irbid filed Hospital/ MOH	Princess Haya Biotechnology Center/ Jordan University of Science Technology	Saied Jaradat et al
hCoV-19/Lebanon/LAU-CVD-45/2021	EPI_ISL_3062346		Laboratory of Molecular Biology and Cancer Immunology, Faculty of Sciences, Lebanese University	Microbial Pathogenomics Lab - LAU	Sima tokajian et al
hCoV-19/Lebanon/LAU-CVD-95/2021	EPI_ISL_3342073		Laboratory of Molecular Biology and Cancer Immunology, Faculty of Sciences, Lebanese University	Microbial Pathogenomics Lab - LAU	Sima tokajian et al
hCoV-19/Jordan/Amman/2021	EPI_ISL_3650535		Ministry Of Health- labs	Ministry Of Health- labs	Mahmoud Al Gazo et al
hCoV-19/Jordan/MOH1/2021	EPI_ISL_3652187		Ministry Of Health - Central Labs	Ministry Of Health - Central Labs	Mahmoud Al Gazo et al
hCoV-19/Jordan/Biolab0123/2021	EPI_ISL_2868422		Biolab Diagnostic Laboratories	Biolab Diagnostic Laboratories	Issa Abu-Dayyeh et al
hCoV-19/Lebanon/LAU-CVD-35/2021	EPI_ISL_2893220		Laboratory of Molecular Biology and Cancer Immunology, Faculty of Sciences, Lebanese University	Microbial Pathogenomics Lab - LAU	Sima tokajian et al
hCoV-19/Qatar/QA.QU_18.19.A4/2021	EPI_ISL_2843248		Ministry of Public Health / Hamad Medical Corporation	Biomedical Research Center (BRC), Qatar University / Qatar Genome Project (QGP)	BRC: Fatiha M. Benslimane et al
hCoV-19/Australia/WA723/2021	EPI_ISL_2098723		PathWest Laboratory Medicine WA	PathWest Laboratory Medicine WA Microbial Surveillance Unit	PathWest Laboratory Medicine WA Microbial Surveillance Unit et al
hCoV-19/Brazil/SP-SEQ00429/2021	EPI_ISL_3696802		Hospital de Campanha de Guaratinguetá	Instituto Butantan	Dimas Tadeu Covas et al
hCoV-19/Mexico/BCS-LANGEBIO_IMSS_1510/2021	EPI_ISL_2942622		Laboratorio Central de Epidemiologia (LCE)	Unidad de Genomica Avanzada	Consorcio Mexicano de Vigilancia Genomica (CoViGen-Mex). Authors (in alphabetical order): Julio Elias Alvarado-Yaah et al
hCoV-19/USA/GA-CDC-MMB09514557/2021	EPI_ISL_3428874	MZ804579.1	Mako Medical	Centers for Disease Control and Prevention Division of Viral Diseases, Pathogen Discovery	Dakota Howard et al
hCoV-19/Mexico/CHH_IBT_IMSS_2329/2021	EPI_ISL_3347641		Centro de Investigación Biomédica del Noreste (CIBIN)	Instituto de Biotecnología de la UNAM	Consorcio Mexicano de Vigilancia Genómica (CoViGen-Mex). Authors (in alphabetical order): Julio Elias Alvarado-Yaah et al
hCoV-19/Mexico/CMX-INMEGEN-22-86/2021	EPI_ISL_3721961		Instituto Nacional de Medicina Genomica	Instituto Nacional de Medicina Genomica	Cedro-Tanda A et al
hCoV-19/Mexico/TAB-InDRE_FB23484_S5568/2021	EPI_ISL_3769069		LESP Tabasco	Instituto de Diagnostico y Referencia Epidemiologicos (INDRE)	Claudia Wong-Arambula et al
hCoV-19/Colombia/CO-UV-20026974/2021	EPI_ISL_3941428		Universidad del Valle, LDAB-Laboratorio de Diagnostico de Agentes Biologicos	Universidad del Valle	Programa Nacional de Caracterización Genómica de SARS-CoV-2 et al
hCoV-19/Mexico/SIN_LANGEBIO_IMSS_2275/2021	EPI_ISL_3805364		Centro de Investigacion Biomedica de Occidente (CIBO)	Unidad de Genomica Avanzada	Consorcio Mexicano de Vigilancia Genomica (CoViGen-Mex). Authors (in alphabetical order): Julio Elias Alvarado-Yaah et al
hCoV-19/Mexico/CHH_LANGEBIO_IMSS_1932/2021	EPI_ISL_3805449		Centro de Investigacion Biomedica del Noreste (CIBIN)	Unidad de Genomica Avanzada	Consorcio Mexicano de Vigilancia Genomica (CoViGen-Mex). Authors (in alphabetical order): Julio Elias Alvarado-Yaah et al
hCoV-19/CostaRica/INC-1001/2021	EPI_ISL_3639156		AREA DE SALUD LIMON	Inciensa, Instituto Costarricense de Investigación y Enseñanza en Nutrición y Salud	Francisco Duarte et al
hCoV-19/CostaRica/INC-0857/2021	EPI_ISL_3298345		HOSPITAL SAN VICENTE DE PAUL	Inciensa, Instituto Costarricense de Investigación y Enseñanza en Nutrición y Salud	Francisco Duarte et al
hCoV-19/CostaRica/INC-0888/2021	EPI_ISL_3464515		AREA DE SALUD MATA REDONDA-HOSPITAL - CLINICA DR. MORENO CAÑAS	Inciensa, Instituto Costarricense de Investigación y Enseñanza en Nutrición y Salud	Francisco Duarte et al
hCoV-19/CostaRica/INC-0906/2021	EPI_ISL_3464529		AREA DE SALUD FORTUNA	Inciensa, Instituto Costarricense de Investigación y Enseñanza en Nutrición y Salud	Francisco Duarte et al
hCoV-19/CostaRica/INC-0917/2021	EPI_ISL_3464514		AREA DE SALUD PAQUERA	Inciensa, Instituto Costarricense de Investigación y Enseñanza en Nutrición y Salud	Francisco Duarte et al
hCoV-19/CostaRica/INC-0919/2021	EPI_ISL_3464538		AREA DE SALUD LA CRUZ	Inciensa, Instituto Costarricense de Investigación y Enseñanza en Nutrición y Salud	Francisco Duarte et al
hCoV-19/CostaRica/INC-1000/2021	EPI_ISL_3639151		HOSPITAL MONSEÑOR SANABRIA	Inciensa, Instituto Costarricense de Investigación y Enseñanza en Nutrición y Salud	Francisco Duarte et al
hCoV-19/Guatemala/ASI4116/2021	EPI_ISL_3527816		Laboratorio Nacional de Salud	Asociación de Salud Integral / Clínica Familiar "Luis Ángel García"	Eduardo Arathon et al
hCoV-19/Guatemala/ASI4090/2021	EPI_ISL_3527799		Laboratorio Nacional de Salud	Asociación de Salud Integral / Clínica Familiar "Luis Ángel García"	Eduardo Arathon et al
hCoV-19/Mexico/CHP_IBT_IMSS_2454/2021	EPI_ISL_3347747		Laboratorio Central de Epidemiología (LCE)	Instituto de Biotecnología de la UNAM	Consorcio Mexicano de Vigilancia Genómica (CoViGen-Mex). Authors (in alphabetical order): Julio Elias Alvarado-Yaah et al
hCoV-19/CostaRica/INC-0747/2021	EPI_ISL_3026022		AREA DE SALUD EL GUARCO [EL GUARCO/CARTAGO]	Inciensa, Instituto Costarricense de Investigación y Enseñanza en Nutrición y Salud	Francisco Duarte et al
hCoV-19/SriLanka/aicbu740/2021	EPI_ISL_3275478		Allergy, Immunology and Cell Biology Unit (AICBU)	Allergy, Immunology and Cell Biology Unit (AICBU)	Chandima Jeewandara et al
hCoV-19/SriLanka/aicbu1178/2021	EPI_ISL_3720912		Allergy, Immunology and Cell Biology Unit (AICBU)	Allergy, Immunology and Cell Biology Unit (AICBU)	Chandima Jeewandara et al
hCoV-19/Pakistan/JRCGR_SCV-100/2021	EPI_ISL_3663479	MZ676659.1	Jamil-ur-Rahman Center for Genome Research, Dr. Panjwani Center for Molecular Medicine and Drug Research	Jamil-ur-Rahman Center for Genome Research, Dr. Panjwani Center for Molecular Medicine and Drug Research	Irfan et al
hCoV-19/Pakistan/IDRL-AKU-KHI-152232-S5/2021	EPI_ISL_3832904		Clinical Lab, Aga Khan University Hospital	Infectious Diseases Research Laboratory, Department of Pediatrics and Child Health	Imran Nisar et al
hCoV-19/Pakistan/NIH-B13-S30/2021	EPI_ISL_3462526		Department of Virology	Department of Virology	Massab Umair et al
hCoV-19/Pakistan/NIH-B13-S14/2021	EPI_ISL_3462510		Department of Virology	Department of Virology	Massab Umair et al
hCoV-19/Pakistan/NIH-B13-S21/2021	EPI_ISL_3462517		Department of Virology	Department of Virology	Massab Umair et al
hCoV-19/BosniaandHerzegovina/KCUS73041/2021	EPI_ISL_2938103		Health Center Novo Sarajevo	Clinical Center, University of Sarajevo; Unit for Clinical Microbiology	Irma Salimović-Bešić et al
hCoV-19/env/Austria/CeMM14864/2021	EPI_ISL_3797134		Universität Innsbruck, Institut für Mikrobiologie	Bergthaler laboratory, CeMM Research Center for Molecular Medicine of the Austrian Academy of Sciences	Lukas Endler et al
hCoV-19/Spain/CT-HUJ23-72358/2021	EPI_ISL_3931692		Hospital Universitari Joan XXIII	Hospital Universitari Joan XXIII	Gemma Recio et al
hCoV-19/Aruba/AW-RIVM-46294/2021	EPI_ISL_3138369		Dutch COVID-19 response team	National Institute for Public Health and the Environment (RIVM)	Adam Meijer et al
hCoV-19/Malta/MDxMDH528/2021	EPI_ISL_2988656		Molecular Diagnostics Pathology Department Mater Dei Hospital Malta	Molecular Diagnostics Pathology Department Mater Dei Hospital Malta	G Zahra et al
hCoV-19/Belgium/AZDelta-03593-2135R/2021	EPI_ISL_3933470		AZDelta	AZ Delta Medical Laboratories in Roeselare, Belgium	Geert Martens et al
hCoV-19/Kosovo/un-ChVir25887_07/2021	EPI_ISL_3505787		Department of Microbiology, National Institute for Public Health of Kosova	Charité Universitätsmedizin Berlin, Institut für Virologie	Victor M Corman et al
hCoV-19/Bulgaria/21BG-EU_004348_Pl37/2021	EPI_ISL_3796767		National Center of Infectious and Parasitic Diseases	National Center of Infectious and Parasitic Diseases	Alexiev et al
hCoV-19/Romania/IF-19801/2021	EPI_ISL_3856863		Department of Public Health Ilfov	National Institute of Infectious Diseases-Prof. Dr. Matei Bals Molecular Diagnostics Laboratory	Corina Casangiu et al
hCoV-19/Guadeloupe/IPP21517/2021	EPI_ISL_3801692		Hospital	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris	Marion Barbet et al
hCoV-19/Guadeloupe/IPP20020/2021	EPI_ISL_3542889		Hospital	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris	Marion Barbet et al
hCoV-19/Guadeloupe/IPP20224/2021	EPI_ISL_3690193		Labo Analyses Med	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris	Marion Barbet et al
hCoV-19/Zambia/ZMB-97881/2021	EPI_ISL_2803670		University of Zambia, School of Veterinary Medicine	UNZAVET and PATH	Mulenga Mwenda-Chimfwembe et al
hCoV-19/Zimbabwe/CERI-KRISP-K021356/2021	EPI_ISL_3722308		National Microbiology Reference Laboratory, Ministry of Health, Harare, Zimbabwe	CERI, Centre for Epidemic Response and Innvoation, Stellenbosch University and KRISP, KZN Research Innovation and Sequencing Platform, UKZN.	Air Comodor Dr J. Chimedza et al
hCoV-19/Zimbabwe/CERI-KRISP-K021383/2021	EPI_ISL_3722324		National Microbiology Reference Laboratory, Ministry of Health, Harare, Zimbabwe	CERI, Centre for Epidemic Response and Innvoation, Stellenbosch University and KRISP, KZN Research Innovation and Sequencing Platform, UKZN.	Air Comodor Dr J. Chimedza et al
hCoV-19/Kenya/C99548/2021	EPI_ISL_3049435		KEMRI-Wellcome Trust Research Programme,Kilifi	KEMRI-Wellcome Trust Research Programme,Kilifi	Githinji G. et al
hCoV-19/Kenya/C102416/2021	EPI_ISL_3049775	OK017288.1	KEMRI-Wellcome Trust Research Programme,Kilifi	KEMRI-Wellcome Trust Research Programme,Kilifi	Githinji G. et al
hCoV-19/Zambia/ZMB-98249/2021	EPI_ISL_2803722		University of Zambia, School of Veterinary Medicine	UNZAVET and PATH	Mulenga Mwenda-Chimfwembe et al
hCoV-19/Zambia/ZMB-98140/2021	EPI_ISL_2803693		University of Zambia, School of Veterinary Medicine	UNZAVET and PATH	Mulenga Mwenda-Chimfwembe et al
hCoV-19/Zambia/ZMB-97974/2021	EPI_ISL_2803681		University of Zambia, School of Veterinary Medicine	UNZAVET and PATH	Mulenga Mwenda-Chimfwembe et al
hCoV-19/Zimbabwe/CERI-KRISP-K021496/2021	EPI_ISL_3730454		National Microbiology Reference Laboratory, Ministry of Health, Harare, Zimbabwe	CERI, Centre for Epidemic Response and Innvoation, Stellenbosch University and KRISP, KZN Research Innovation and Sequencing Platform, UKZN.	Air Comodor Dr J. Chimedza et al
hCoV-19/Zimbabwe/CERI-KRISP-K021540/2021	EPI_ISL_3730432		National Microbiology Reference Laboratory, Ministry of Health, Harare, Zimbabwe	CERI, Centre for Epidemic Response and Innvoation, Stellenbosch University and KRISP, KZN Research Innovation and Sequencing Platform, UKZN.	Air Comodor Dr J. Chimedza et al
hCoV-19/Zimbabwe/CERI-KRISP-K021554/2021	EPI_ISL_3730481		National Microbiology Reference Laboratory, Ministry of Health, Harare, Zimbabwe	CERI, Centre for Epidemic Response and Innvoation, Stellenbosch University and KRISP, KZN Research Innovation and Sequencing Platform, UKZN.	Air Comodor Dr J. Chimedza et al
hCoV-19/Kenya/C101330/2021	EPI_ISL_3049550		KEMRI-Wellcome Trust Research Programme,Kilifi	KEMRI-Wellcome Trust Research Programme,Kilifi	Githinji G. et al
hCoV-19/Zimbabwe/CERI-KRISP-K021343/2021	EPI_ISL_3722297		National Microbiology Reference Laboratory, Ministry of Health, Harare, Zimbabwe	CERI, Centre for Epidemic Response and Innvoation, Stellenbosch University and KRISP, KZN Research Innovation and Sequencing Platform, UKZN.	Air Comodor Dr J. Chimedza et al
hCoV-19/Zambia/ZMB-98537/2021	EPI_ISL_2803743		University of Zambia, School of Veterinary Medicine	UNZAVET and PATH	Mulenga Mwenda-Chimfwembe et al
hCoV-19/Kenya/C102788/2021	EPI_ISL_3049790	OK017303.1	KEMRI-Wellcome Trust Research Programme,Kilifi	KEMRI-Wellcome Trust Research Programme,Kilifi	Githinji G. et al
hCoV-19/Kenya/C101729/2021	EPI_ISL_3049674	OK017226.1	KEMRI-Wellcome Trust Research Programme,Kilifi	KEMRI-Wellcome Trust Research Programme,Kilifi	Githinji G. et al
hCoV-19/Kenya/C106440/2021	EPI_ISL_3909881		KEMRI-Wellcome Trust Research Programme,Kilifi	KEMRI-Wellcome Trust Research Programme,Kilifi	Githinji G. et al
hCoV-19/Kenya/C106458/2021	EPI_ISL_3909896		KEMRI-Wellcome Trust Research Programme,Kilifi	KEMRI-Wellcome Trust Research Programme,Kilifi	Githinji G. et al
hCoV-19/Kenya/C105931/2021	EPI_ISL_3910085		KEMRI-Wellcome Trust Research Programme,Kilifi	KEMRI-Wellcome Trust Research Programme,Kilifi	Githinji G. et al
